orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,import,systemGuid
21912330,5b0e0993-c441-4124-9e94-108adc06e631,"Polaris Kinematic Platform Mount, 2 Adjusters, M4 Mounting Holes",21110085,Thorlabs GmbH,POLARIS-K1M4/M ,,y,569d181a-7b9a-4bf5-b4b4-48d099ca781a
21912331,78f3cba7-abba-4aa7-b6cc-8e4caae5aa67,PSSu H FS SN SD K??d materi??lu: 312085 ,21120084,PILZ,312085,,y,b170f92b-4a97-43d3-b186-e4298054deb0
21912350,08da3e3f-b9a2-4258-859e-2c10d9648073,"EUDF-SUPP FIBEROPTIC F/T,2.75""UHV, (3)XMM600UV/FSMA,190-1100NMghs ",21110125,Kurt J. Lesker,FIBM3-UV00-06-S-3,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110155,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110150,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110148,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110151,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110149,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110147,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,f72cdac5-87fc-4b2d-8fb6-0bb4e38af468,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110155,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,f72cdac5-87fc-4b2d-8fb6-0bb4e38af468,"UM10-45B 1 Low GDD, High Energy Mirror, 950 nm - 1170 nm ",21110149,Thorlabs GMBH,UM10-45B,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912385,48288b31-86b6-4e0f-be38-5312361a8217,"UM10-45G 1 low-GDD mirror, 460-590nm, 45deg AOI ",21110146,Thorlabs GMBH,UM10-45G,,y,241ae6eb-439c-4fcd-aa4d-6e17084be1f3
21912400,36cc062b-6688-4ea5-9ac1-75c935af9c8e,"High-Intensity Fiber-Coupled Illuminator with 91 cm (36"") Long Fiber Bundle",21110183,Thorlabs GmbH,OSL2 ,,y,c10f4274-221e-41af-b05b-375efb8217ec
21912400,36cc062b-6688-4ea5-9ac1-75c935af9c8e,"High-Intensity Fiber-Coupled Illuminator with 91 cm (36"") Long Fiber Bundle",21110184,Thorlabs GmbH,OSL2 ,,y,c10f4274-221e-41af-b05b-375efb8217ec
21912432,9b8d24fe-e979-4d54-aef2-e186b38aedad,Vacuum Compatible Translation Stage,21110186,STANDA-VILNIUS,7T67SSV-25,,y,c10f4274-221e-41af-b05b-375efb8217ec
21912432,9b8d24fe-e979-4d54-aef2-e186b38aedad,Vacuum Compatible Translation Stage,21110185,STANDA-VILNIUS,7T67SSV-25,,y,c10f4274-221e-41af-b05b-375efb8217ec
21912432,9b8d24fe-e979-4d54-aef2-e186b38aedad,Vacuum Compatible Translation Stage,21110187,STANDA-VILNIUS,7T67SSV-25,,y,c10f4274-221e-41af-b05b-375efb8217ec
21912434,e7a0760a-eee8-4914-84c7-8e2418742680,"CMR 361, Active Capacitance Transmitter DN 16",21100174,UltraFast Innovations GmbH,PT R24 601,,y,8fa412ba-0726-4276-aeb1-137786775b57
21912434,e7a0760a-eee8-4914-84c7-8e2418742680,"CMR 361, Active Capacitance Transmitter DN 16",21110173,Pfeiffer Vacuum Austria GmbH,PT R24 601,,y,8fa412ba-0726-4276-aeb1-137786775b57
21912444,6c425c16-d790-4cb2-8f97-fe19ac4f3c0f,"2"" Square Colored Glass Filter Kit, Unmounted, Set of 10  ",21110168,Thorlabs GmbH,FGK01S ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
