ShortName,CIN,Address,SateCode,VAT,Name
ATLAS COPCO SERVICES,27764907,BRNO,CZE,CZ27764907,Atlas Copco Services s.r.o.
DR.RER.NAT KOERNER L,,SANGERHAUSEN,DEU,DE327385712,DR.RER.NAT KOERNER LASERTECHNOLOGIE
EPS EUROPEAN PHYSICA,,MULHOUSE,FRA,,EPS EUROPEAN PHYSICAL SOCIETY
MINI-CIRCUITS EU-DE,,Surrey,GBR,DE324030589,MINI-CIRCUITS EUROPE DE
BESTSOFT CONSULTING,,Dublin,IRL,IE9690985H,BESTSOFT Consulting Ltd
NEWLIGHT PHOTONICS I,,"TORONTO, ONTARIO",CAN,,Newlight Photonics Ic.
NELES AUSTRIA GMBH,,Vienna,AUT,ATU75049635,NELES AUSTRIA GMBH (PART OF VALMET)
CONTROLTECH S.R.O.,26150271,KOLIN IV,CZE,CZ26150271,ControlTech s.r.o.
LAMBDA SYSTEM,,WARSAW,POL,PL7010100646,LAMBDA SYSTEM
BLUEMI S.R.O.,7011890,PRAHA,CZE,CZ07011890,BluEmi s.r.o.
"CESKE DRAHY, A.S.",70994226,PRAHA,CZE,CZ70994226,"České dráhy, a.s."
REGIOJET A.S.,28333187,BRNO,CZE,CZ28333187,RegioJet a.s.
K A V ELEKTRO A.S.,28463005, PRAHA1- NOVÉ MĚSTO,CZE,CZ28463005,K a V ELEKTRO a.s.
PROTECO NARADI S.R.O,47453630,PRAHA,CZE,CZ47453630,PROTECO nářadí s.r.o.
"CESKA POSTA,",47114983,PRAHA 1,CZE,CZ47114983,"Česká pošta, s.p."
FZU,68378271,PRAHA,CZE,CZ68378271,"Fyzikální ústav AV ČR, v. v. i."
FRACTAL S.R.O.,63979578,PRAHA        3,CZE,CZ63979578,FRACTAL s.r.o.
ACTIVA SPOL. S R.O.,48111198,PRAHA 9 - LETŇANY,CZE,CZ48111198,ACTIVA spol. s r.o.
DKV EURO SERVICE S.,,Praha 4,CZE,CZ680446277,DKV EURO SERVICE s. r. o.
"MARSH, S.R.O.",45306541,PRAHA 3,CZE,CZ45306541,"MARSH, s.r.o."
"CANON CZ S.R.O.,",61501484,Praha 7,CZE,CZ61501484,"CANON CZ s.r.o.,"
"APEX CENTRAL EUROPE,",26313766,BLUČINA,CZE,CZ26313766,"Apex Central Europe, s.r.o."
SSC,60457856,PRAHA,CZE,CZ60457856,"Středisko společných činností AV ČR, v. v. i."
"SATRA GLOBAL,S.R.O.",25097610,PRAHA,CZE,CZ25097610,"SATRA GLOBAL,s.r.o."
LINTECH SPOL.S R.O.,47717076,DOMAŽLICE,CZE,CZ47717076,LINTECH spol.s r.o.
"ARTEFAKT SERVICE, S.",24727377,PRAHA,CZE,CZ24727377,"Artefakt service, s.r.o."
ALZA.CZ A.S.,27082440,PRAHA 7,CZE,CZ27082440,Alza.cz a.s.
HOWLINGS S.R.O.,27572102,PRAHA,CZE,CZ27572102,Howlings s.r.o.
MIJA GASTRO S.R.O.,4668154,PRAHA,CZE,CZ04668154,MIJA gastro s.r.o.
S K T SPOL. S R.O.,44268670,PRAHA 7,CZE,CZ44268670,S K T spol. s r.o.
NESTLE CESKO S.R.O.,45799504,PRAHA,CZE,CZ45799504,Nestlé Česko s.r.o.
PAVEL ZEZULA,67066968,TŘEBÍČ,CZE,CZ7109024538,Pavel Zezula
CZC.CZ,25655701,PRAHA,CZE,CZ25655701,CZC.cz s.r.o.
UNITECHNIC.CZ S.R.O.,27425134,PRAHA,CZE,CZ27425134,unitechnic.cz s.r.o.
"AKROS, S.R.O. Praha-Ďáblice",536792,PRAHA,CZE,CZ00536792,"AKROS, s.r.o."
ELISCHEM LIMITED S.R,14335735,PRAHA,CZE,CZ14335735,Elischem Limited s.r.o.
E&E COM S.R.O.,4104153,KRUPKA,CZE,CZ04104153,E&E COM s.r.o.
"DIANA LAB, S.R.O.",10769609,VESTEC,CZE,,"DIANA Lab, s.r.o."
PAPOUCH STORE S.R.O.,24256374,PRAHA 102,CZE,CZ24256374,PAPOUCH STORE s.r.o.
DI5.TECH S.R.O.,63995280,PRAHA,CZE,CZ63995280,di5.Tech s.r.o.
VAKUUM PRAHA,49622501,PRAHA 8,CZE,CZ49622501,"VAKUUM PRAHA, spol. s r.o."
JELLYFISH S.R.O.,24195154,PRAHA 8 - LIBEŇ,CZE,CZ24195154,Jellyfish s.r.o.
NTT CZECH REPUBLIC S,26175738,PRAHA,CZE,CZ26175738,NTT Czech Republic s.r.o.
MIRONET.CZ A.S.,28189647,PRAHA 6 - BŘEVNOV,CZE,CZ28189647,Mironet.cz a.s.
B-TECH IN S.R.O.,4715977,PRAHA,CZE,CZ04715977,B-tech in s.r.o.
2E PLUS S.R.O.,28467621,PRAHA 14-ČERNÝ MOST,CZE,CZ28467621,2e plus s.r.o.
TENDER SYSTEMS S.R.O,29145121,Praha 6,CZE,CZ29145121,Tender systems s.r.o.
CODEWARE,61061395,PRAHA  2,CZE,CZ61061395,CODEWARE s.r.o.
IKEA,27081052,PRAHA 5,CZE,CZ27081052,IKEA Česká republika s.r.o.
LINDE GAS A.S,11754,PRAHA 9,CZE,CZ00011754,LINDE GAS a.s.
URAD PRUMYSLOVEHO VL,48135097,PRAHA 6 - SEDLEC,CZE,CZ48135097,Úřad průmyslového vlastnictví
AXIOM TECH S.R.O.,48533955,ZLIN,CZE,CZ48533955,Axiom TECH s.r.o.
MARTIN KONECNY CONSU,7226560,PRAHA,CZE,CZ07226560,Martin Konečný Consulting s.r.o.
KAESER KOMPRESSOREN,63996472,Praha,CZE,CZ63996472,KAESER KOMPRESSOREN s.r.o.
"CSOB LEASING, A.S.",63998980,PRAHA,CZE,Skupinove_DPH,"ČSOB Leasing, a.s."
FEDEX EXPRESS,15888959, PRAHA 5,CZE,CZ15888959,"FedEx Express Czech Republic, s.r.o."
KL - TECH S.R.O.,3657060,LITVÍNOV,CZE,CZ03657060,KL - TECH s.r.o.
BOLA SPOL S.R.O.,18630219,PRAHA,CZE,CZ18630219,BOLA spol s.r.o.
FIBRE PROFESSIONALS,26415895,PRAHA 6,CZE,CZ26415895,FIBRE Professionals s.r.o.
SPEED PRESS PLUS A.S,25765647,LIBUŠÍN,CZE,CZ25765647,SPEED PRESS plus a.s.
ANAG,25354671,OLOMOUC,CZE,CZ25354671,"ANAG,spol.s r.o."
"B + R AUTOMATIZACE,",25328719,BRNO,CZE,CZ25328719,"B + R automatizace, spol. s r.o."
"INSTALACE PRAHA, SPO",45804371,PRAHA 1,CZE,CZ45804371,"INSTALACE Praha, spol. s r.o."
LANGUAGE FORUM S.R.O,24301299,PRAHA,CZE,CZ24301299,Language Forum s.r.o.
AHV EKOLOGICKY SERVI,26741172,PRAHA,CZE,CZ26741172,"AHV ekologický servis, s.r.o."
BCA. FRANTISEK HORAK,88291103,PRAHA,CZE,,BcA. František Horák
ANDREJ MLICH,14203537,PRAHA,CZE,,Andrej Mlích
"MULTISPORT BENEFIT,",24715298,PRAHA,CZE,CZ24715298,"MultiSport Benefit, s.r.o."
"GORO, SPOL. S R.O.",44265557,BRANDÝS N. LABEM - ST.BOLESLAV,CZE,CZ44265557,"GORO, spol. s r.o."
TECHNICKA SPRAVA NEM,4673395,PRAHA,CZE,CZ04673395,Technická správa nemovitostí s.r.o.
LORIKA CZ S.R.O.,47667010,OLOMOUC,CZE,CZ47667010,LORIKA CZ S.R.O.
PETR SEBEK AD AQUA S,61843610,PRAHA 8,CZE,CZ7005060337,Petr Šebek
"INTERNET MALL, A.S",26204967,Praha 7,CZE,CZ26204967,"Internet Mall, a.s."
CLASSIC OIL S.R.O.,27921697,BUŠTĚHRAD,CZE,CZ27921697,CLASSIC Oil s.r.o.
O2 CZECH REPUBLIC,60193336,PRAHA 4,CZE,CZ60193336,O2 Czech Republic a.s.
EIRA S.R.O.,17934265,NÁMĚŠŤ NAD OSLAVOU,CZE,,Eira s.r.o.
ITALINOX,45306591,ŘÍČANY,CZE,CZ45306591,"ITALINOX, spol. sro."
FCC,45809712,PRAHA,CZE,CZ45809712,"FCC Česká republika, s.r.o."
MIXA VENDING S.R.O.,26824621,NOVÝ JIČÍN,CZE,CZ26824621,MIXA VENDING s.r.o.
M COMPUTERS S.R.O.,26042029,BRNO - LÍŠEŇ,CZE,CZ26042029,M Computers s.r.o.
ZDENEK VINS,5645298,PRAHA,CZE,CZ8011150070,Zdeněk Vinš
KALINA INDUSTRIES S.,27758991,ZLÍN,CZE,CZ27758991,KALINA industries s.r.o.
EPPENDORF CZECH & SL,27939031,ŘÍČANY,CZE,CZ27939031,Eppendorf Czech & Slovakia s.r.o.
AESCULAP ASSISTANCE,10799656,PRAHA,CZE,CZ10799656,Aesculap Assistance s.r.o.
HANA PESKOVA,4710355,PRAHA,CZE,,Hana Pešková
ING. JAROSLAV KLEM,16184076,PRAHA,CZE,CZ5702100283,Ing. Jaroslav Klem
DATASCRIPT S.R.O.,46577459,PRAHA 8,CZE,CZ46577459,DataScript s.r.o.
CENTR GROUP-ELMONT S,27810941,OSTRAVA,CZE,CZ27810941,CENTR GROUP-ELMONT s.r.o.
"HUMUSOFT, SPOL. S R.",40525872,PRAHA 8,CZE,CZ40525872,"HUMUSOFT, spol. s r.o."
MESSER TECHNOGAS,40764788,PRAHA,CZE,CZ40764788,Messer Technogas s.r.o.
TECHNICKE SLUZBY DOL,3711617,VESTEC,CZE,CZ03711617,"Technické služby Dolnobřežanska, s.r.o."
STUDIO W S.R.O.,60490306,PRAHA,CZE,CZ60490306,Studio W s.r.o.
"AMEDIS, SPOL. S R.O.",48586366,PRAHA 9,CZE,CZ48586366,"AMEDIS, SPOL. S R.O."
NEREZOVE VYPALKY S.R,2563100,Karviná - Fryštát,CZE,CZ02563100,Nerezové výpalky s.r.o.
"VEDAVYZKUM.CZ, S.R.O",6226655,PRAHA,CZE,CZ06226655,"Vědavýzkum.cz, s.r.o."
COMMANDER SERVICES S,8295573,PRAHA,CZE,CZ684928058,"Commander Services s.r.o., odštěpný závod"
ELITES MDS S.R.O.,29364051,PRAHA,CZE,CZ29364051,elites MDS s.r.o.
STAR CZECH S.R.O.,26204363,PRAHA,CZE,CZ26204363,STAR Czech s.r.o.
LEPIKY S.R.O.,27575080,PRAHA,CZE,CZ27575080,Lepíky s.r.o.
ELIS TEXTIL SERVIS S,25756966,BRNO,CZE,CZ25756966,ELIS Textil Servis s.r.o.
E.S. BEST S.R.O.,26191458,PRAHA,CZE,CZ26191458,E.S. Best s.r.o.
RECA S.R.O.,49437330,BRNO,CZE,,RECA S.R.O.
"ULEKARE.CZ, S.R.O.",5341051,PRAHA,CZE,CZ05341051,"uLékaře.cz, s.r.o."
INSTITUT PSYCHOLOGIE,4553381,PRAHA,CZE,,Institut psychologie s.r.o.
"RILANCIO, S.R.O.",28185561,Praha 1,CZE,CZ28185561,"RILANCIO, s.r.o."
VWR INT,63073242,STŘÍBRNÁ SKALICE,CZE,CZ63073242,VWR International s.r.o.
SONEPAR,47450436, HRADEC KRÁLOVÉ,CZE,CZ47450436,Sonepar Česká republika spol. s r.o.
UNIKONT GROUP S.R.O.,41193113,PRAHA,CZE,CZ41193113,Unikont Group s.r.o.
MILOS CINKANIC,69829845,PRAHA,CZE,,Miloš Cinkanič
DEKRA CZ A.S.,49240188,PRAHA,CZE,CZ49240188,DEKRA CZ a.s.
ECOVIS FACTA A.S.,27231712,PRAHA,CZE,CZ27231712,ECOVIS FACTA a.s.
"STARA PLUS, V.O.S.",25425994,OSEČNÁ,CZE,CZ25425994,"STARÁ plus, v.o.s."
MOZNOSTI TU JSOU O.P,27978311,PLZEŇ 3,CZE,CZ27978311,MOŽNOSTI TU JSOU o.p.s.
"SPRINX SYSTEMS,  A.S",26770211,PRAHA 4 - BRANIK,CZE,CZ26770211,"Sprinx Systems,  a.s."
TME CZECH REPUBLIC S,27789021,OSTRAVA,CZE,CZ27789021,TME Czech Republic s.r.o.
"CERATIZIT CR,S.R.O.-",26954061,VELKÉ MEZIŘÍČÍ,CZE,CZ26954061,"CERATIZIT CR,S.R.O.-WNT,KLENK,KOMET"
AB CNC SERVIS S.R.O.,5577942,Plískov,CZE,CZ05577942,AB cnc servis s.r.o.
BBM SPOL.S.R.O,40755592,PÍSEK,CZE,CZ40755592,BBM spol. s r. o.
"LUWEX, AKCIOVA SPOLE",138207,PRAHA,CZE,CZ00138207,"Luwex, akciová společnost (a.s.)"
"TRAFOPOL, S.R.O.",6152368,HORNÍ BEZDĚKOV,CZE,CZ06152368,"Trafopol, s.r.o."
LOM PRAHA S.P.,515,PRAHA 10 MALESICE,CZE,CZ00000515,LOM PRAHA s.p.
HELAGO-CZ  S.R.O.,25963961,HRADEC KRÁLOVÉ,CZE,CZ25963961,HELAGO-CZ  S.R.O.
GRUMANT S.R.O.,49680609,Praha 10,CZE,CZ49680609,GRUMANT s.r.o.
ALUTEC,25097156,ČELÁKOVICE,CZE,CZ25097156,"Alutec K&K, a.s."
"ASIANA, SPOL. S R.O.",49704362,PRAHA 6,CZE,CZ49704362,"ASIANA, spol. s r.o."
SQUADRA AZZURRA SPOL,28890809,PRAHA,CZE,CZ28890809,Squadra Azzurra spol. s r.o.
B2B PARTNER S.R.O.,27830306,OSTRAVA - ZÁBŘEH,CZE,CZ27830306,B2B Partner s.r.o.
LIDL LIDL,26178541,PRAHA,CZE,CZ26178541,LIDL
OVOCE DO PRACE S.R.O,2840049,KAMENICE,CZE,CZ02840049,Ovoce do práce s.r.o.
STATNI FOND DOPRAVNI,70856508,PRAHA,CZE,,Státní fond dopravní infrastruktury
KOVAZ S.R.O.,64792781,PARDUBICE,CZE,CZ64792781,KOVAZ s.r.o.
"A-Z REKLAMA CZ, S.R.",28740653,LIBEREC,CZE,CZ28740653,"A-Z Reklama CZ, s.r.o."
AKERMANN ELECTRONIC,41690079,PRAHA,CZE,CZ41690079,"AKERMANN ELECTRONIC PRAHA, spol. s r.o."
TIPA SPOL. S R.O.,42864208,OPAVA-PŘEDMĚSTÍ,CZE,CZ42864208,"TIPA, spol. s r.o."
UNIVERZITA KARLOVA Matematicko - fyzikální fakulta,216208,PRAHA 2,CZE,CZ00216208,Univerzita Karlova
"STAUBLI SYSTEMS, S.R",27472892,PARDUBICE,CZE,CZ27472892,"Stäubli Systems, s.r.o."
"STREICHER, SPOL. S R",14706768,ŠTĚNOVICE,CZE,CZ14706768,"STREICHER, spol. s r.o. Plzeň"
"M B M TECHNIK, SPOL.",44960735,BRNO,CZE,CZ44960735,"M B M Technik, spol. s r.o."
JANA SVARNA,3767361,PRAHA,CZE,CZ8157066786,Jana Švarná
ARGOMED A.S.,27643689,PRAHA,CZE,CZ27643689,ArgoMed a.s.
WECO-TRAVEL (CZ) S.R,551163,Praha 8,CZE,CZ00551163,Weco-Travel (CZ) s.r.o.
ING. STANISLAV NOVAK,1250752,Moravany,CZE,CZ8004153311,Ing. Stanislav Novák
MICHAL PRENNER,75565854,ČESKÉ BUDĚJOVICE,CZE,CZ9007071293,Michal Prenner
ALUPA,47472987,PARDUBICE,CZE,CZ47472987,ALUPA
ALAX SPOL. S R.O.,47534478,ŠTĚCHOVICE,CZE,CZ47534478,ALAX spol. s r.o.
FRUNEK INOX S.R.O.,26926008,ZLÍN,CZE,CZ26926008,FRUNĚK INOX s.r.o.
"ALUTEC KK, S.R.O.",1567942,ČELÁKOVICE,CZE,CZ01567942,ALUTEC KK s.r.o.
ING. PETR SIMECEK,49051504,TÝN NAD VLTAVOU,CZE,CZ451214415,Ing. Petr Šimeček
OLIVUV PIVOVAR S.R.O,1498878,Dolni Brezany,CZE,CZ01498878,Olivuv pivovar s.r.o.
FIEDLER S.I.,46905146,BRNO,CZE,CZ46905146,Fiedler s.i.
3Q METAL S.R.O.,28828968,HRADEC KRÁLOVÉ,CZE,CZ28828968,3Q Metal s.r.o.
BULVA ALES,87168634,PRAHA,CZE,CZ8210212450,Bulva Ales
CHROMSPEC S.R.O.,44794053,MNÍŠEK POD BRDY,CZE,CZ44794053,CHROMSPEC spol. s r.o.
PRUSA RESEARCH A.S.,6649114,PRAHA,CZE,CZ06649114,Prusa Research a.s.
JISKA S.R.O.,27565068,JÍLOVÉ U PRAHY,CZE,CZ27565068,Jiska s.r.o.
MK PLEXI,27210006,PRAHA 4 - MODŘANY,CZE,CZ27210006,MK Plexi s.r.o.
FIPAS - PILY NA KOV,24298948,PRAHA,CZE,CZ24298948,FIPAS - pily na kov s.r.o.
KATERINA HRNOVA,6336663,OSTRAVA,CZE,,Kateřina Hrňová
HABERKORN ULMER Haberkorn Ulmer s.r.o.,61947024,MOKRÉ LAZCE,CZE,CZ61947024,Haberkorn Ulmer s.r.o.
EKOBAL S.R.O.,49616625,PRAHA,CZE,CZ49616625,EKOBAL s.r.o.
HOTEL TROJA S.R.O.,2632004,PRAHA 8,CZE,CZ02632004,HOTEL TROJA s.r.o.
"COMARR, SPOL. S R.O.",15050084,PARDUBICE,CZE,CZ15050084,"ComArr, spol. s r.o."
OBALY  KREDO  S.R.O.,27117316,Brandýs nad Labem-Stará Boleslav,CZE,CZ27117316,Obaly  KREDO  s.r.o.
CARGOLOGIX S.R.O.,27915956,Praha 9,CZE,CZ27915956,Cargologix s.r.o.
JIRI PAREZ,13065998,BRNO-STŘED,CZE,CZ5909171411,Jiří Pařez
DHL EXPRESS,25683446,OSTRAVA,CZE,CZ25683446,"DHL Express, s.r.o."
COPYSERVIS,16189841,PRAHA 5 - BARRANDOV,CZE,CZ16189841,Copyservis s. r. o.
WELLEN A.S.,26751666,PRAHA,CZE,CZ26751666,WELLEN a.s.
ING. MARIAN PODLESNY,75875993,HORNÍ SUCHÁ,CZE,CZ7610015182,Ing. Marian Podleśny
GROWJOB S.R.O.,28310888,BRNO-STŘED,CZE,CZ28310888,GrowJOB s.r.o.
JUNGHEINRICH (CR) S.,47123591,MODLETICE,CZE,CZ47123591,Jungheinrich (ČR) s.r.o.
"PROFIKRAFT TRADING,",25529391,BRNO,CZE,CZ25529391,"PROFIKRAFT TRADING, s.r.o."
DP PARTS S.R.O.,5743842,PRAHA,CZE,CZ05743842,DP parts s.r.o.
OKSYSTEM A.S.,27373665,Praha 4,CZE,CZ27373665,OKsystem a. s.
ELVAC A.S.,25833812,OSTRAVA,CZE,CZ25833812,ELVAC a.s.
ADVOKATNI KANCELAR V,2476649,PLZEŇ,CZE,CZ02476649,"Advokátní kancelář Volopich, Tomšíček & spol., s.r.o."
