eun,isEunInPanda,pandaOrderGUID,isOrderInPanda,pbsFis,pbsVerso,pbsTenderReference,pbsSupplier,pbsNumber,cataloguePartNumber,serialNumber,itemPriceCzk,itemPriceEUR,cartName,description,notes,destination,deliveredDate,TargetsystemGUID,ItemUsage,ItemCondition,ImportInstr,PandaPartNumber
12120125,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.4,EDP-25.0-C,,1026.32,39.98130113,"Equilateral Dispersing prism 25 mm, BK7, High-Precision(EDP-25.0-C CVI)","Angular Deviation	±3 arc min
Chamfer		0.35 mm at 45° (typical)
CA		?85% 
LIDT		15 J/cm2, 20 nsec, 20 Hz @ 1064 nm
Dimensional Tol.	+0/-0.25 mm
Material		N-BK7 glass
Surface Figure	?/10 p-v at 633 nm
Surface Quality	10-5 scratch and dig
Surface Figure	?/10 p-v at 633 nm
Su",,UTIA,12/03/2012,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,EDP-25.0-C
12120126,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.4,EDP-25.0-C,,1026.32,39.98130113,"Equilateral Dispersing prism 25 mm, BK7, High-Precision(EDP-25.0-C CVI)","Angular Deviation	±3 arc min
Chamfer		0.35 mm at 45° (typical)
CA		?85% 
LIDT		15 J/cm2, 20 nsec, 20 Hz @ 1064 nm
Dimensional Tol.	+0/-0.25 mm
Material		N-BK7 glass
Surface Figure	?/10 p-v at 633 nm
Surface Quality	10-5 scratch and dig
Surface Figure	?/10 p-v at 633 nm
Su",,UTIA,12/03/2012,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,EDP-25.0-C
12120127,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.4,EDP-25.0-C,,1026.32,39.98130113,"Equilateral Dispersing prism 25 mm, BK7, High-Precision(EDP-25.0-C CVI)","Angular Deviation	±3 arc min
Chamfer		0.35 mm at 45° (typical)
CA		?85% 
LIDT		15 J/cm2, 20 nsec, 20 Hz @ 1064 nm
Dimensional Tol.	+0/-0.25 mm
Material		N-BK7 glass
Surface Figure	?/10 p-v at 633 nm
Surface Quality	10-5 scratch and dig
Surface Figure	?/10 p-v at 633 nm
Su",,UTIA,12/03/2012,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,EDP-25.0-C
12120147,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_158, 158/2012",H-Test,RA1.L1.L1_1.CSS.DG.OS.2,DSOX3104A,MY52440369,163658.7,6056.946706,"Oscilloscope 1GHz, 2-5 GS/s, 4 Ch (DSOX3104A Agilent)","Digital oscilloscope, 4 channels, 
Frequency range 0,5-1GHz
1GHz bandwidth across all 4 analog channels
5 GS/s max. sample rate
rise time 450ps, Ethernet, USB, RemoteControl",,LBCS team electronic workshop,12/11/2012,468f0dcc-5be9-43ea-849e-740158e24ef1,,,UL,DSOX3104A
12120148,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_158, 158/2012",H-Test,RA1.L1.L1_1.CSS.DG.OS.2,DSOX3104A,MY52440370,163658.7,6056.946706,"Oscilloscope 1GHz, 2-5 GS/s, 4 Ch (DSOX3104A Agilent)","Digital oscilloscope, 4 channels, 
Frequency range 0,5-1GHz
1GHz bandwidth across all 4 analog channels
5 GS/s max. sample rate
rise time 450ps, Ethernet, USB, RemoteControl",,L1 front end,12/11/2012,468f0dcc-5be9-43ea-849e-740158e24ef1,,,UL,DSOX3104A
13010004,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.FE.L1_1.BB.PL2.R1.CM,SMCX 1037 - 5.0,,5299.21,206.4359174,"1030 nm planoconvex mirror ROC=-5m,0 deg, R>99.98%, 1"", ULE (CVI)","Spec: 	r = -5000, 
Material	ULE, 
	HR (0°, 1030nm ±30nm) 
	>99.98%, 
	?/10 pro 1030nm, 
S/D	0/5
LIDT	>10J/cm2  20ns, 20Hz ","checked, OK.","UTIA, 100 mJ regen cavity",01/09/2013,a683ada1-6f6b-49d7-b878-efb40ad7ebfb,,,UL,SMCX-1037-5.0-ULE
13010005,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.M,SMCX 1037 - 5.0,,5299.21,206.4359174,"1030 nm planoconvex mirror ROC=-5m,0 deg, R>99.98%, 1"", ULE (CVI)","Spec: 	r = -5000, 
Material	ULE, 
	HR (0°, 1030nm ±30nm) 
	>99.98%, 
	?/10 pro 1030nm, 
S/D	0/5
LIDT	>10J/cm2  20ns, 20Hz ",,"UTIA, mirrors drawer",01/09/2013,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,SMCX-1037-5.0-ULE
13010006,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.M,SMCX 1037 - 4.0,,5299.21,206.4359174,"1030 nm planoconvex mirror ROC=-4m,0 deg, R>99.98%, 1"", ULE (CVI)","Spec: 	r = -4000, 
Material	ULE, 
	HR (0°, 1030nm ±30nm) 
	>99.98%, 
	?/10 pro 1030nm, 
S/D	0/5
LIDT	>10J/cm2  20ns, 20Hz ",,UTIA,01/09/2013,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,SMCX-1037-4.0-ULE
13010007,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.M,SMCX 1037 - 4.0,,5299.21,206.4359174,"1030 nm planoconvex mirror ROC=-4m,0 deg, R>99.98%, 1"", ULE (CVI)","Spec: 	r = -4000, 
Material	ULE, 
	HR (0°, 1030nm ±30nm) 
	>99.98%, 
	?/10 pro 1030nm, 
S/D	0/5
LIDT	>10J/cm2  20ns, 20Hz ",,UTIA,01/09/2013,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,SMCX-1037-4.0-ULE
13010008,FALSE,01ae51d8-95a0-4dba-968c-1e4ccf1283d8,TRUE,NA,NA,"S12_094, 094/2012","LAO - pr?myslové systémy,s.r.o.",RA1.L1.CSS.SPAR.O.M,SMCX 1037 - 3.0,,5299.21,206.4359174,"1030 nm planoconvex mirror ROC=-3m,0 deg, R>99.98%, 1"", ULE (CVI)","Spec: 	r = -3000, 
Material	ULE, 
	HR (0°, 1030nm ±30nm) 
	>99.98%, 
	?/10 pro 1030nm, 
S/D	0/5
LIDT	>10J/cm2  20ns, 20Hz ",,UTIA,01/09/2013,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,SMCX-1037-3.0-ULE
